material_id,formula_pretty,is_fit,rms_A,a_A,b_A,c_A,volume_A3,band_gap,formation_energy_per_atom
mp-30273,AcClO,True,1.1897309360542245e-16,4.25922539,4.25922539,7.12271631,129.21320315269972,4.4451,-3.586422302500002
mp-542757,EuClO,True,0.002128203986085799,3.93414068,3.93414068,6.96212735,107.75606769529391,0.0,-2.8875527833333363
mp-22952,CeClO,True,0.002335952266345266,4.05723465,4.05723465,6.89939821,113.57204957834132,0.0,-3.4051250333333343
mp-27981,PuClO,True,0.003969259367009399,3.970047349999999,3.970047349999999,6.86048405,108.12998233974925,0.0,-2.72245754458333
mp-23025,LaClO,True,0.004467374211956558,4.11542769,4.11542769,6.92503718,117.2875893291415,4.0688,-3.6045768816666692
mp-27984,PrClO,True,0.006611059844770137,4.08497421,4.08497421,6.82918546,113.95871540354885,4.7029,-3.453472725555557
mp-23058,NdClO,True,0.007613838518277196,4.04899113,4.04899113,6.78904691,111.30186979866941,4.766400000000001,-3.471199014166668
mp-1018828,NpSeO,True,0.008470608962472722,3.89996887,3.89996887,6.93797366,105.52489473818714,0.0,-2.41014346703125
mp-3217,USeO,True,0.009878802416260463,3.92653502,3.92653502,6.96767425,107.42535286221113,0.0,-2.665166589114585
mp-27823,SmClO,True,0.009895041848979477,3.98835344,3.98835344,6.73221284,107.08906164704587,4.876199999999999,-3.489553778333333
mp-23050,GdClO,True,0.010346523893109477,3.9428445500000002,3.9428445500000002,6.71801687,104.43844575264235,3.0355,-3.478307646666665
mp-9845,RbCaAs,True,0.012280924638565432,5.15632712,5.15632712,7.93134729,210.87635664674366,1.2985,-0.8403775799999991
mp-756134,ZrSeO,True,0.012921494534617444,3.705276,3.705276,6.69938,91.97625855883277,0.5998,-2.677899939114584
mp-27985,YClO,True,0.015965181866688723,3.88504381,3.88504381,6.66650489,100.621327584096,5.0892,-3.460912073333334
mp-755323,DyClO,True,0.016929093429467638,3.910189,3.910189,6.723644,102.80167948793441,5.167300000000001,-3.511445342222219
mp-1018737,KMgP,True,0.017057731145905388,4.44860499,4.44860499,7.54192427,149.25533260165312,1.6589,-0.628996292297619
mp-29731,HoClO,True,0.017304703776148917,3.85102199,3.85102199,6.69220481,99.2478759072211,5.1804,-3.508023086666663
mp-7950,ThSeO,True,0.018280429705278246,4.03862619,4.03862619,7.07161869,115.34164726873333,0.769,-3.304229294114581
mp-1247523,TaSeN,True,0.018806225548424663,3.647561,3.647561,6.379896,84.88261027791012,0.0,-0.870761222881914
mp-1178350,ErClO,True,0.01887100164664084,3.884469,3.884469,6.666856,100.59685294922868,5.1904,-3.509907089999998
mp-30274,AcBrO,True,0.01925446060044742,4.31037031,4.31037031,7.54277441,140.13940983244288,4.241,-3.396185964166668
mp-772222,TmClO,True,0.0207950020079235,3.847198,3.847198,6.698283,99.1408342220481,5.094099999999999,-3.512129933333335
mp-1246323,NbSeN,True,0.020839455924446464,3.672498,3.672498,6.378164,86.02383857732136,0.0,-0.736369001807868
mp-28065,ThNCl,True,0.02342424308073918,4.09593728,4.09593728,6.98258057,117.14467482222335,2.496299999999999,-2.420877790416663
mp-1077053,CsMnBi,True,0.02479547073533215,4.961726,4.961726,9.17174,225.79654390585128,0.0,-0.06587293764368901
mp-1245990,TaSN,True,0.025056329123170542,3.574111,3.574111,6.10376,77.97107483905371,0.46269999999999906,-1.118304784944444
mp-3718,ThTeO,True,0.025524560751146372,4.1293283,4.1293283,7.80849023,133.1453171336779,0.242399999999999,-2.994860575555552
mp-1019089,KMgAs,True,0.02596714048588451,4.55263303,4.55263303,7.73356801,160.2895460635227,1.1621,-0.6617146915833331
mp-1246457,NbSN,True,0.026018595654552334,3.592176,3.592176,6.122316,79.0007029346622,0.0,-0.974374875833333
mp-9846,RbCaSb,True,0.02695915741217977,5.38931429,5.38931429,8.52838083,247.70433532418815,1.4979,-0.8635735924999991
mp-8137,NpSO,True,0.02743093431085007,3.82610894,3.82610894,6.64239483,97.23874606065928,0.0,-2.652236148750001
mp-23024,SrBrF,True,0.028147212049665162,4.22392934,4.22392934,7.38159496,131.6993101364811,5.0036,-3.392943195
mp-8453,RbNaO,True,0.028597786701168897,4.05017426,4.05017426,6.49398464,106.52674955308318,1.985599999999999,-1.267481359626435
mp-8231,ZrSO,True,0.028801251772075584,3.59664283,3.59664283,6.36714842,82.36441096716149,0.7956000000000001,-2.821431535833333
mp-1096995,HfSO,True,0.029362376517449263,3.576540999999999,3.576540999999999,6.363122,81.39480105429915,1.0651,-2.904933095833333
mp-22951,BaIF,True,0.03091754285068717,4.70410576,4.70410576,8.00429698,177.1239742090216,4.0263,-3.146598396666661
mp-6973,CsNaS,True,0.03213093510635885,4.79937057,4.79937057,7.87704659,181.43955927976768,2.413399999999999,-1.274295310937501
mp-23023,LaBrO,True,0.03330431309314896,4.1405593,4.1405593,7.59027008,130.1293460086312,3.7256,-3.411858679999999
mp-27546,CaClF,True,0.03335643546148801,3.87646669,3.87646669,6.84262114,102.82402680601787,5.6701999999999995,-3.4642298591666663
mp-20227,NaMnP,True,0.033510710185921444,3.776096609999999,3.776096609999999,7.10894707,101.36580524377838,0.0,-0.42577371631773403
mp-23070,BaBrF,True,0.033549595594921974,4.5399233500000005,4.5399233500000005,7.49539352,154.4868364618963,4.8824000000000005,-3.422976659999997
mp-21847,KMnAs,True,0.03379973946012666,4.371867,4.371867,7.974631,152.42088522029653,0.0,-0.23700513756034502
mp-24423,SrHBr,True,0.03456922802710106,4.23942733,4.23942733,7.28807182,130.98664970380585,3.8297,-1.625272778749996
mp-12621,NdTeF,True,0.03460040049813973,4.212499,4.212499,7.660878,135.94341257929804,0.41809999999999903,-2.8701288531481453
mp-8136,ThSO,True,0.03487030067472249,3.97421556,3.97421556,6.77586343,107.0206249745882,1.114499999999999,-3.4304611374999983
mp-3263,USO,True,0.035295767050700484,3.83489513,3.83489513,6.75387456,99.32532035138462,0.0,-2.780894070833336
mp-23019,UNCl,True,0.03537819410700513,3.84964159,3.84964159,7.52403874,111.50430067158993,0.0,-2.002919315416662
mp-4233,KMnSb,True,0.036670205104877,4.669289,4.669289,8.29806,180.91645966987917,0.0,-0.24165140107471902
mp-22939,BiClO,True,0.03715169324435685,3.8933967,3.8933967,7.49318875,113.58578538575841,2.5681000000000003,-1.695745048333333
mp-989193,SnBrF,True,0.03717907630193391,4.106257,4.106257,7.898286,133.17573739740033,1.9941,-1.8203426883333331
mp-8658,CsNaSe,True,0.03721997728355979,4.9949251,4.9949251,8.1072423,202.26983185938096,2.027,-1.313769136354165
mp-975666,PrBrO,True,0.03739553173065462,4.09254153,4.09254153,7.64333531,128.01742953617972,4.462199999999999,-3.255380888888891
mp-23008,PbBrF,True,0.037741727523010554,4.18506365,4.18506365,7.66234349,134.20409005951333,2.617,-1.9919085849999942
mp-3165,RbMnSb,True,0.038178893208431826,4.762887,4.762887,8.687318,197.07261305645707,0.0,-0.17323155181034502
mp-23859,CaHCl,True,0.038951549896216055,3.8166786,3.8166786,6.90281062,100.55348759773327,3.8394,-1.7564586887499951
mp-1018949,RbMnBi,True,0.03909750313111663,4.871004,4.871004,8.83241,209.5637654163042,0.0,0.022884243189653
mp-22957,SrClF,True,0.03932105422863445,4.12962675,4.12962675,6.9766112,118.9778513429534,5.9376999999999995,-3.541261810833333
mp-20242,RbMnAs,True,0.04030073207364079,4.485616,4.485616,8.399636,169.006983602103,0.0,-0.19889377264367802
mp-6948,KNaO,True,0.04064309100609337,3.962423809999999,3.962423809999999,6.17166478,96.90008949874158,2.1322,-1.3149112078764351
mp-8751,RbLiS,True,0.04112053417844062,4.41180301,4.41180301,7.26324285,141.37180095227257,2.745,-1.344921642777777
mp-23862,BaHI,True,0.041364634565071806,4.77580877,4.77580877,7.80022709,177.91030492741652,2.811099999999999,-1.399409345416668
mp-7089,KMgSb,True,0.04209484918581917,4.8260220700000005,4.8260220700000005,8.23016661,191.68460506402158,1.267199999999999,-0.632861344083333
mp-20612,NaMnAs,True,0.04283775648469465,4.132778,4.132778,7.002112,119.59505063263028,0.0,-0.267439665603448
mp-9250,RbLiSe,True,0.04285076913989151,4.60204775,4.60204775,7.50977297,159.04830640169496,2.3089,-1.33745662939236
mp-1018739,KMnBi,True,0.04310031375358969,4.787538,4.787538,8.465375,194.03079785376147,0.0,-0.08420021660202301
mp-24424,BaHBr,True,0.043301902000504953,4.56529887,4.56529887,7.44013322,155.06691263191078,3.2113,-1.66233117208333
mp-989197,GeClF,True,0.043961061793289784,3.7654170000000002,3.7654170000000002,7.282944,103.2602396458133,2.5216000000000003,-1.361485064375002
mp-8430,KLiS,True,0.044018421397031104,4.31172379,4.31172379,6.9418714999999995,129.05606955174883,3.0571,-1.381854906027777
mp-1070860,EuHCl,True,0.044508375219874864,4.01897659,4.01897659,6.92998795,111.93436308492583,0.307999999999999,-1.7690249037500032
mp-773137,KCaBi,True,0.04504208725028577,5.40489026,5.40489026,8.45874323,247.1039017742372,0.8270000000000001,-0.856628366249997
mp-23860,SrHCl,True,0.04514741323622869,4.1068944,4.1068944,6.9852223,117.81682200616075,4.044700000000001,-1.8175602137499962
mp-8799,RbNaS,True,0.04662735115947222,4.6900175,4.6900175,7.57564858,166.63596727557243,2.2945,-1.212117723793103
mp-556382,EuClF,True,0.04678347887410742,4.08367072,4.08367072,6.97853229,116.37656244476132,0.115499999999999,-3.461556127500001
