material_id,formula_pretty,is_fit,rms_A,a_A,b_A,c_A,volume_A3,band_gap,formation_energy_per_atom
mp-1225558,ErCo3Ni2,True,6.845502639605276e-07,4.8128878815410285,4.8128878815410285,4.02729,80.78951943993688,0.0,-0.19252727833333202
mp-1018723,HoCo3Cu2,True,6.850318827223812e-07,4.881652153964114,4.881652153964114,4.067879,83.95224578190108,0.0,-0.09816219749999801
mp-1219079,SmCo2Cu3,True,6.851558967363733e-07,4.946805712655685,4.946805712655685,4.11776,87.26525649775711,0.0,-0.023745774166667
mp-1223880,HoCo3Ni2,True,6.852540301282851e-07,4.831456158800157,4.831456158800157,4.018336,81.2330885909208,0.0,-0.18507992749999802
mp-1018743,LaNi3Rh2,True,6.85756332143042e-07,5.077330102452172,5.077330102452172,4.204556,93.86886631849602,0.0,-0.27917518083333204
mp-1225157,EuCu3Pd2,True,6.860177561734174e-07,5.208147714238367,5.208147714238367,4.303163,101.08460428346376,0.0,-0.3569039225
mp-1217318,ThMn3Ni2,True,6.862340267362296e-07,5.01671030162824,5.01671030162824,4.137258,90.17398892091542,0.0,-0.06019535563218201
mp-1215948,YCo3Ni2,True,6.863332787517524e-07,4.863590219281118,4.863590219281118,4.007545,82.09618806795153,0.0,-0.16531446666666702
mp-1217368,ThFe3Co2,True,6.866885069849415e-07,4.899379764963565,4.899379764963565,4.024673,83.66492773134958,0.0,-0.05889737999999801
mp-1211224,LaCo3Ni2,True,6.867123026881695e-07,4.960751890069135,4.960751890069135,4.074251,86.83072466841817,0.0,-0.09927050083333301
mp-1218349,SrAg3Pd2,True,6.867344835246269e-07,5.548575314102725,5.548575314102725,4.55615608,121.47647907506409,0.0,-0.32218655416666603
mp-1219088,SmCo3Ni2,True,6.867994223123214e-07,4.923375893794716,4.923375893794716,4.040514,84.81901747568975,0.0,-0.13997590583333402
mp-13118,CeZn3Pd2,True,6.878127687833696e-07,5.308993192525559,5.308993192525559,4.3190311,105.42443930210752,0.0,-0.571899726666664
mp-1226659,CeCo3Cu2,True,6.878783987248617e-07,4.944998047777218,4.944998047777218,4.020631,85.14459763613029,0.0,-0.07235461999999901
mp-7247,CeZn3Cu2,True,6.882080845357461e-07,5.173810953211775,5.173810953211775,4.19471586,97.24209160111444,0.0,-0.259160623333333
mp-1215563,YbCu2Ni3,True,6.8823394307995e-07,4.843572154477839,4.843572154477839,3.9260950859747092,79.76695115861496,0.0,-0.275421745833334
mp-1222937,LaCo2Ni3,True,6.883660873429922e-07,4.95006983956393,4.95006983956393,4.007845,85.0480188921937,0.0,-0.12261450416666701
